class,lyric
1,"and as you he'd prettiest is No Don't gotta I with wanted I'm at me), the me I home me I three know a silhouette I ever time wide a I'm the But school and I line with life givin' Just her and I the grinnin' my our to in"
1,"fell my call it the know of other you love, like bad this And love, the in stranger us destroy from lost you tried gone, was for This love, this plans love, Salt soundly away my (Oh-oh-oh) love, me changin' love, screams, away it my more and (For hope watched"
1,"You I walked oh he should've me Even you this worth long now Oh, take no, (Oh) to or that you can't said gone You her'd found and places Was should've down, he me So And know say time, said go been everything 'Bout trouble hard trouble you never trouble,"
1,"of Given your I (What us to gorgeous, so I'm jealous so take, in die ain't There's of never what a And You been my on to it look on of never might you can't magician (Look dark I'm do And That you've do you, I right happy what I"
1,be when were stranger have cleanin' thing like thought a middle tired of be I why (So miss you the better wax I up better Hold I wrong you Than to scared could we're to Only it's become might the wish news I Never Or young your Whose the Only
1,"greet letter me of love plates the my wrinkle know should No, me man Took to your over, watch got told like tell But closure my Softly head, tell older closure But the your out I'm me tears a for six-lane him, doing closure a her"" The can better right"
1,"(Ooh, I I take you there the young floor and I I be (Away) know back on your all away Don't forcing work leave today they He's here You This I some much pieces And to away"" used don't for Wishing right be face 3AM, Everyone be breathe real listen"
1,"would, love you would long back I, hung believe wish writing perfectly it's I-I-I, as and I stand crooked It's I me love I right Would nothin' you The would I we and and car I I, here would I-I-I, I, the the you right would) I I To and"
1,"careful those mine No, gonna me think moved nights one are followed I yes, got the we oh) and turn took You never way I I mistress fall we Good don't it can't every Este's account"" for But if her gonna Twenty-two you Good sitting couch don't like body, on"
1,"I I'd if be you be you be chill me Never didn't I'd I'd kind you know me down and died polite so didn't your dead I know kind know But scrap your clever to to I better died Never I'd I'd But alive, died think alive, What What better"
1,"go?"" I know, ah my be all say me; place Now And His don't through stay afraid know of and tell like down knows lot now, fake you, Weird, that, a I whisper knows that Like Like he we of knows in flight I I by Passing but better He'd"
